"tmax" "date"
24.23055555 1988-10-01
24.23055555 1988-10-02
22.74944445 1988-10-03
23.80055555 1988-10-04
23.80055555 1988-10-05
24.23055555 1988-10-06
24.23055555 1988-10-07
29.05611111 1988-10-08
34.69388889 1988-10-09
35.21944445 1988-10-10
31.875 1988-10-11
26.61944445 1988-10-12
24.75611111 1988-10-13
23.80055555 1988-10-14
27.04944445 1988-10-15
31.34944445 1988-10-16
31.875 1988-10-17
25.66388889 1988-10-18
25.18611111 1988-10-19
23.275 1988-10-20
23.80055555 1988-10-21
23.80055555 1988-10-22
21.36388889 1988-10-23
21.79388889 1988-10-24
21.79388889 1988-10-25
22.74944445 1988-10-26
21.36388889 1988-10-27
21.36388889 1988-10-28
24.23055555 1988-10-29
24.23055555 1988-10-30
25.18611111 1988-10-31
27.04944445 1988-11-01
24.75611111 1988-11-02
25.18611111 1988-11-03
26.09388889 1988-11-04
27.04944445 1988-11-05
27.575 1988-11-06
23.275 1988-11-07
22.74944445 1988-11-08
22.74944445 1988-11-09
22.74944445 1988-11-10
23.275 1988-11-11
23.80055555 1988-11-12
22.31944445 1988-11-13
21.79388889 1988-11-14
22.31944445 1988-11-15
23.275 1988-11-16
24.75611111 1988-11-17
23.80055555 1988-11-18
22.74944445 1988-11-19
21.36388889 1988-11-20
23.80055555 1988-11-21
23.80055555 1988-11-22
23.275 1988-11-23
20.88611111 1988-11-24
21.36388889 1988-11-25
21.36388889 1988-11-26
23.275 1988-11-27
23.275 1988-11-28
29.05611111 1988-11-29
32.83055555 1988-11-30
33.78611111 1988-12-01
28.10055555 1988-12-02
26.09388889 1988-12-03
24.75611111 1988-12-04
24.75611111 1988-12-05
27.575 1988-12-06
29.48611111 1988-12-07
27.04944445 1988-12-08
25.66388889 1988-12-09
25.18611111 1988-12-10
25.66388889 1988-12-11
27.04944445 1988-12-12
27.575 1988-12-13
21.79388889 1988-12-14
18.975 1988-12-15
18.975 1988-12-16
18.975 1988-12-17
19.93055555 1988-12-18
19.93055555 1988-12-19
20.45611111 1988-12-20
20.45611111 1988-12-21
20.45611111 1988-12-22
20.45611111 1988-12-23
18.975 1988-12-24
17.063888891 1988-12-25
18.44944445 1988-12-26
18.44944445 1988-12-27
18.019444445 1988-12-28
17.493888891 1988-12-29
18.44944445 1988-12-30
18.44944445 1988-12-31
19.50055555 1989-01-01
21.79388889 1989-01-02
22.74944445 1989-01-03
25.66388889 1989-01-04
22.31944445 1989-01-05
18.019444445 1989-01-06
18.44944445 1989-01-07
18.44944445 1989-01-08
19.50055555 1989-01-09
23.80055555 1989-01-10
24.75611111 1989-01-11
20.45611111 1989-01-12
18.975 1989-01-13
19.50055555 1989-01-14
18.44944445 1989-01-15
21.36388889 1989-01-16
23.275 1989-01-17
26.09388889 1989-01-18
27.575 1989-01-19
27.575 1989-01-20
25.18611111 1989-01-21
25.66388889 1989-01-22
19.93055555 1989-01-23
22.31944445 1989-01-24
22.74944445 1989-01-25
20.88611111 1989-01-26
21.36388889 1989-01-27
19.93055555 1989-01-28
21.79388889 1989-01-29
25.18611111 1989-01-30
26.61944445 1989-01-31
20.88611111 1989-02-01
18.975 1989-02-02
19.93055555 1989-02-03
16.156111109 1989-02-04
16.586111109 1989-02-05
17.063888891 1989-02-06
16.586111109 1989-02-07
16.586111109 1989-02-08
18.019444445 1989-02-09
19.50055555 1989-02-10
22.31944445 1989-02-11
22.74944445 1989-02-12
21.36388889 1989-02-13
18.019444445 1989-02-14
18.44944445 1989-02-15
18.975 1989-02-16
20.45611111 1989-02-17
20.45611111 1989-02-18
19.93055555 1989-02-19
20.45611111 1989-02-20
25.66388889 1989-02-21
26.61944445 1989-02-22
27.04944445 1989-02-23
23.80055555 1989-02-24
25.66388889 1989-02-25
26.61944445 1989-02-26
24.23055555 1989-02-27
23.275 1989-02-28
19.93055555 1989-03-01
19.93055555 1989-03-02
21.79388889 1989-03-03
22.31944445 1989-03-04
22.31944445 1989-03-05
23.80055555 1989-03-06
24.23055555 1989-03-07
24.23055555 1989-03-08
24.75611111 1989-03-09
21.36388889 1989-03-10
19.93055555 1989-03-11
24.23055555 1989-03-12
28.53055555 1989-03-13
29.05611111 1989-03-14
21.79388889 1989-03-15
21.79388889 1989-03-16
20.45611111 1989-03-17
22.31944445 1989-03-18
29.05611111 1989-03-19
29.96388889 1989-03-20
28.10055555 1989-03-21
27.04944445 1989-03-22
24.23055555 1989-03-23
20.88611111 1989-03-24
20.45611111 1989-03-25
24.75611111 1989-03-26
